Name,Address1,Address2,Area
Chatham Brasserie,"Unit 22, Westbury Mall",Clarendon Street,Dublin 2
O'Briens Irish Sandwich Bar,34B Grafton Street,,Dublin 2
Diep Le Shaker Restaurant,55 Pembroke Lane,off Pembroke St,Dublin 2
Wynns Hotel,35 - 39 Lr Abbey St,,Dublin 1
Radisson Royal Hotel,Golden Lane,,Dublin 8
Belfield Office Park,Clonskeagh,,Dublin 4
Yamamori Sushi Ltd,38/39 Lr Ormond Quay,,Dublin 1
The Church Café Bar,Mary Street,,Dublin 1
Spar (Liffey Street),8 Lower Liffey St,,Dublin 1
KC Peaches,Unit 10 A Trinity Enterprise Centre,Pearse Street,Dublin 2
Fallon & Byrne,11 - 17 Exchequer Street,,Dublin 2
Eddie Rockets,33 Upr Baggot Street,,Dublin 4
Abrakebabra,16 Westmoreland Street,,Dublin 2
Mace (Killester),155 Killester Ave,Killester,Dublin 5
Trocadero,3 St Andrew St,,Dublin 2
Supermacs,14 Westmoreland St,,Dublin 2
Madigans Donnybrook,135 Morehampton Rd,,Dublin 4
Madigans North Earl Street,,,Dublin 1
Fairview Retail Investments Ltd,26 - 27 Annesley Bridge Road,Fairview,Dublin 3
Mona Lisa Restaurant,16A D'Olier Chambers,D'Olier Street,Dublin 2
Thai Spice Restaurant,3A Talbot Place,,Dublin 1
Eighty - seven Chinese Takeaway,87 Summerhill,,Dublin 1
Howl at the Moon,7/8 Lr Mount Street,,Dublin 2
The Bistro,4/5 Castlemarket,,Dublin 2
"Spar,",63/64 Upr O'Connell Street,,Dublin 1
"Le Phare, 10 Lr Abbey Street",,,Dublin 1
Sunrise Café,4 Clarendon Market,South William Street,Dublin 2
 AIB Bank,37/38 O'Connell St,,Dublin 1
O'Sullivans Bar,10 - 12 Westmoreland Street,,Dublin 2
Royal Pizza,11 Lower Liffey Street,,Dublin 1
Odeon Bar & Grill,57 Harcourt Street,,Dublin 2
Dakota Bar & Grill,8-9 South William Street,,Dublin 2
Govinda's Restaurant,83 Middle Abbey Street,,Dublin 1
Southborough Taverns Limited,19 Store Street,,Dublin 1
Brother Buffet,"Unit 16, Epicurean Food Hall, Lower Liffey Street",,Dublin 1
The Shack Restaurant,24 East Essex Street,,Dublin 2
Bank of Ireland,Baggot Street,,Dublin 4
Bank of Ireland,Mayor Street,,Dublin 1
Bank of Ireland,9-12 Dawson Street,,Dublin 2
Bank of Ireland,2-3 College Green,,Dublin 2
Bank of Ireland,Grand Canal Quay,,Dublin 2
Fitzsimon's Hotel,20/21/22 Wellington Quay,,Dublin 2
The Courtyard Restaurant,1 Belomont Avenue,Donnybrook,Dublin 4
Centra Convenience Store,56A Dame Street,Temple Bar,Dublin 2
Patrick Guilbald Restaurant,21 Upper Merrion Street,,Dublin 2
Fairview Grill,25 Annesley Bridge Road,Fairview,Dublin 3
AIB Bank,7/12 Dame Street,,Dublin 2
AIB Bank,44 Westmoreland Street,,Dublin 2
AIB Bank,100/101 Grafton Street,,Dublin 2
Bord Bia,Clanwilliam Court,Lower Mount Street,Dublin 2
Apache Pizza,108 Pearse Street,,Dublin 2
Trinity Capital Hotel,Pearse Street,,Dublin 2
Javaholics,1B Merville Avenue,Marino,Dublin 3
Charlies 4,8 South Great Georges Street,,Dublin 2
Bay [Dwycos],367/368 Clontarf Road,Clontarf,Dublin 3
Dylan Hotel,Eastmoreland Place,,Dublin 2
IL Baccaro Limited,Meeting House Square,Temple Bar,Dublin 2
D-Café,"Unit 3, Lord Edward Street",,Dublin 2
Good World Restaurant,18 South Great George's Street,,Dublin 2
Spar,2/4 Merrion Row,,Dublin 2
Bruno's Restaurant,30 East Essex Street,Temple Bar,Dublin 2
Dunne & Crescenzi,14 - 16 South Frederick Street,,Dublin 2
Mace Convenience Store,"No. 1 & 2 Village Centre, Coolock",,Dublin 1
Café Java,"81 Morehampton Road, Donnybrook",,Dublin 4
Café Java,"Unit 3a, Grand Canal Square",,Dublin 2
Central Remedial Clinic,"Vernon Avenue, Clontarf",,Dublin 3
Londis,"Unit 1, Belmont Place, Middle Gardiner Street",,Dublin 1
Irish Film Institute,6 Eustace Street,,Dublin 2
The Central Hotel,1- 5 Exchequer Street,,Dublin 2
Spar Mary Street,53 Mary Street,,Dublin 1
Café Kylemore,O'Connell Street,,Dublin 1
Dept. of Agriculture,"Agriculture House, Kildare Street",,Dublin 2
Nearys,1 Chatham Street,,Dublin 2
Fresh. The Good Food Market,"Unit 4, Grand Canal Square",,Dublin 2
Royal College of Surgeons in Ireland,"123 St. Stephens Green,",,Dublin 2
Charming Noodles,105 Parnell Street,,Dublin 1
New Tin Tin Oriental Café,7 Baggot Street Upper,,Dublin 4
Fans Cantonese Restaurant,"60 Dame Street, Temple Bar",,Dublin 2
Jewel in the Crown,4/5 South William Street,,Dublin 22
Jewel in the Crown,41/43 Shelbourne Rd,,Dublin 4
Shanahans on the Green,19 St. Stephens Green,,Dublin 2
Mercy International Centre,64A Lower Baggot Street,,Dublin 2
Costcutter Raheny,"3 All Saints Rd, Raheny",,Dublin 3
Salabic Limited,"Unit 1-3 Gresham Hse Centre, Cathal Brugha St.",,Dublin 1
Muse Café,"2nd Floor, Easons O'Connell Street",,Dublin 1
Millers Pizza Kitchen,50 Upper Baggot Street,,Dublin 4
Kavanagh Costcutter,70 Aungier Street,,Dublin 2
Angelo's Take-Away,"91 Rosemount Avenue, Artane",,Dublin 5
Stephen's Green Hibernian Club,9 St. Stephen's Greem,,Dublin 2
Mulino Restaurant,"23 Watermill Road, Raheny",,Dublin 5
Chorus Café,"Unit 7, Scarlet Row, Fishamble Street",,Dublin 8
Regent Chinese Take-Away,183 Howth Road,,Dublin 3
The Mongolian Barbeque,"7 Anglesea Street, Temple bar",,Dublin 2
Du Yi Chu,140 Parnell Street,,Dublin 1
Spar Abbey Streetq,"Millenium Walkway, 26-30 Upr Abbey St.",,Dublin 2
Toners,139 Lower Baggot Street,,Dublin 2
Cineworld Cinemas,"Parnell Centre, Parnell Street",,Dublin 1
Han Yang Korean Restaurant,103 Parnell Street,,Dublin 1
Centra,"1-4 Aldborough Court, Five Lamps, North Strand",,Dublin 1
Hemmingways Seafood Restaurant,2B Vernon Avenuem Clontarf,,Dublin 3
Noble House Chinese Restaurant,17 Dame Street,,Dublin 2
Restaurant Nikala,74 Talbot Street,,Dublin 1
The Earl Restaurant,26 North Earl Street,,Dublin 1
The Lord Edward,23 Christchurch Place,,Dublin 8
"La Corte, Powerscourt S.C.",South William Street,,Dublin 2
Venu Brasserie,Annes Lane,,Dublin 2
Lemon Jelly Café,"Unit 11, 1 Jervis Street","Ext, Millennium Walk",Dublin 1
The Arlington Temple Bar,Lord Edward St,Temple Bar,Dublin 2
The Baggot Inn,Lower Baggot St,,Dublin
The Arlington Hotel,O'Connell Bridge,25 Batchelors Walk,Dublin 1
Quiznos Sub,2 North Earl St,,Dublin 1
Anns Bakery,41 Mary Street,,Dublin 1
Centra,Westland Row,,Dublin 2
Quiznos Sub,Unit 22 Powerscourt Centre,59 South William Street,Dublin 2
Brannigan's Bar,9 Cathedral St,,Dublin 1
Pig & Heifer,151 Pearse St,,Dublin 2
Pig & Heifer,21-23 City Quay,,Dublin 2
Abrakebabra,66 Dame St,,Dublin 2
AIB,1 Adelaide Rd,,Dublin 2
TP Smiths,9/10 Jervis St,,Dublin 1
Mars Chinese Take Away,63 South Richmond  Street,,Dublin 2
XL Stop & Shop,55 Talbot Street,,Dublin 1
Centra,121 Capel Street,,Dublin 1
Department of the Environment,Custom House,,Dublin 1
The Ripley Court Hotel,37 Talbot Street,,Dublin 1
Harbourmaster,Old Dock Offices,IFSC,Dublin 1
Winding Stairs,40 Ormond Quay,,Dublin 1
Pravda,35 Lwr Liffey St,,Dublin 2
Floridita,Irish Life Mall,Lwr Abbey St,Dublin 1
Searsons,42 - 44 Lr Baggot St,,Dublin 4
The Bailey,1-4 Duke Street,,Dublin 2
Thomas Reads,1-3 Parliament Street,,Dublin 2
Thomas Reads,Smithfield,Smithfield Plaza,Dublin 7
Ron Blacks,37 Dawson St,,Dublin 2
Lincolns Inn,9 - 10 Lincoln Place,,Dublin 2
Raheny Chinese Take Away,417 Howth Road,Raheny,Dublin 5
Elimglen Ltd,T/A Coffee Food Co,14 South Leinster Street,Dublin 2
Department of Health & Children,Hawkins House,Hawkins Street,Dublin 2
Bagel Factory,9B Lr Abbey St,,Dublin 1
Rayhoon Restaurant,8 Talbot Street,,Dublin 1
Lynchs Take Away Foods,187 Howth Rd,Killester,Dublin 3
Diep @ Home,48 Ranelagh,,Dublin 6
Diep Noodle Bar,19 Ranelagh Village,Ranelagh,Dublin 6
Quay Restaurant,10-12 Temple Bar,,Dublin 2
Renards Bar,South Frederick St,,Dublin 2
Tante Zoes Restaurant,Temple Bar,,Dublin 2
Nostramo,25 Lower Leeson Street,,Dublin 2
The Abbey & Peacock Theatre,26 Lower Abbey Street,,Dublin 1
O'Neill's Public House,2 Suffolk Street,,Dublin 2
Pizza Stop,6 Chatham Street,,Dublin 2
Nonna Valentina,1-2 Portobello Road,,Dublin 8
Fabios Traditional Italian Restaurant,4 Malahide Road,Coolock village,Dublin 5
Olive Tree Coffee Shop & Barnie's Coffee House,"Ground & Lower Ground Floor, Clery's & Co.",O'Connell Street,Dublin 1
Rooftop Restaurant & Tearooms Restaurant,"1st & 3rd Flr, Clerys & Co.",O'Connell Street,Dublin 1
Il Vignordo Restaurant & Le Monde at Hotel Isaacs,Store Street,,Dublin 1
Leo Burdocks,1 Epicurean Food Hall,Liffey Street,Dublin 1
Beshoff Restaurant,6 Upper O'Connell Street,,Dublin 1
Elephant & Castle Restaurant,18-19 Temple Bar,,Dublin 2
Department of Transport,25 Clare Street,,Dublin 2
Department of Transport,44 Kildare Street,,Dublin 4
Department of Transport,93-99 Leson Street,,Dublin 2
Porter House North,Crossguns Bridge,"Whitworth Rd, Glasneving",Dublin 9
Porter House Temple Bar,16-18 Parliament Street,,Dublin 2
Conrad Hotel,Earlsfort Terrace,,Dublin 2
Port House,64 South William Street,,Dublin 2
Bar Pintxo,12 Eustace Street,,Dublin 2
Porter House Central,Nassau Street,,Dublin 2
Apache Pizza,27 Bachelors Walk,,Dublin 1
Shop 'n' Go,58 ST. Brigids Road,Artane,Dublin 5
Sufi's Cafe,48 Lwr Stephens Street,,Dublin 2
L'Gueuleton,2 Fade Street,,Dublin 2
Jing Gang Shan Chinese Restaurant,104 Parnell Street,,Dublin 1
Sandbar Restaurant Limited,193/194 Clontarf Road,,Dublin 3
